building,bus,car,fence,motorcycle,person,pole,rider,road,sidewalk,sky,terrain,traffic light,traffic sign,train,truck,vegetation,wall,y
25101,3952,226,90,5238,1547,1014,0,4836,14856,0,0,3,0,46,641,21965,0,1
14906,0,12471,0,211,47,255,0,19708,1799,4197,5906,61,377,0,0,19064,0,1
15716,151,6326,5395,0,9,1789,0,10391,11019,6619,251,31,32,3,1322,19654,294,1
58,0,4116,2,0,63,4898,0,31346,1850,17838,53,1699,444,0,0,16635,0,1
3498,0,575,9335,0,28,232,0,21494,1208,0,8621,0,1,0,10,34000,0,1
21771,5441,577,156,5749,955,1008,0,2275,17900,0,2,22,0,6,1342,22311,0,1
63,0,11008,1,2,46,4915,0,24791,1745,17894,45,1687,404,0,0,16401,0,1
25406,0,705,37,366,6405,352,686,25514,3721,2770,0,23,628,0,14,12354,21,1
32272,0,4959,4438,152,510,445,233,21405,5331,3417,0,1,1,22,880,3957,979,1
285,0,10319,5280,106,0,69,0,26922,2062,5906,1275,0,0,0,18,26760,0,1
41714,2,739,0,5060,1482,1466,1249,19413,2881,933,0,42,0,0,0,4021,0,1
7688,0,3782,27,13,36,747,0,21255,8967,7787,4110,1,2,0,0,24521,66,1
30456,4155,180,14,4683,1368,1115,1,6229,15412,0,171,0,0,120,236,15375,0,1
11659,0,12375,0,0,10,1097,0,21274,1608,4119,3556,3,57,0,5,23239,0,1
125,228,11684,2427,0,0,607,0,17283,192,6131,8468,0,168,18,271,31387,13,1
24695,5854,320,9,6011,10,882,374,4641,15204,0,0,0,0,51,283,21181,0,1
10166,7,6089,225,0,1220,1312,121,18738,4992,3729,3444,31,1809,0,397,26099,623,1
30845,6,26418,0,0,39,8,0,13503,0,3714,0,0,46,0,24,4399,0,1
19801,0,18671,198,0,0,31,0,14083,1852,3780,1982,28,231,0,1464,16881,0,1
6513,0,698,1,0,3,728,0,19354,35,636,14405,1,0,0,121,36507,0,1
25817,5612,427,7,5028,1220,1083,22,2346,19097,0,195,5,0,107,1406,17143,0,1
1,0,1548,2,145,584,1718,0,27160,5102,7,104,357,336,0,0,42451,0,1
34958,0,11042,0,1630,1033,17,1759,18987,372,3332,0,0,1,0,3,5868,0,1
24797,2838,1490,36,5959,108,1029,0,1907,18472,0,1,8,821,0,393,21656,0,1
36590,662,23955,0,23,108,10,0,12575,0,2469,0,14,20,0,1811,765,0,1
23828,32,4807,8,750,8032,959,237,24028,650,2549,13,85,2465,0,9,10550,0,1
10958,0,3073,253,93,874,5537,145,23865,6630,5404,1078,292,17,0,14,20769,0,1
25937,2909,798,10,5099,2026,1142,0,2264,18254,0,333,0,0,7,2267,18469,0,1
20008,0,332,106,174,156,8,4,13528,6901,6581,0,58,13,10,327,9422,21374,1
21089,0,13635,0,0,56,646,0,23590,1267,11339,103,0,1,0,116,7160,0,1
32724,64,27755,0,176,43,174,0,7999,0,812,0,0,15,0,1714,7526,0,1
19235,0,2015,2828,4,452,1520,53,30766,2275,5630,9,89,368,0,14,13744,0,1
8147,0,10266,0,0,18,513,0,21325,0,332,4697,129,0,0,134,33441,0,1
26542,1928,473,0,4936,2061,1198,0,4952,15931,0,139,0,0,35,804,20459,57,1
1388,0,4427,0,0,77,1363,0,20173,2167,2706,9094,157,342,0,0,37108,0,1
4576,417,8052,2,0,24,1583,0,16896,3748,4247,10187,95,3,0,8645,20527,0,1
114,0,5044,2,229,856,803,0,22830,712,121,502,1,757,0,5,47026,0,1
25198,0,11184,3,0,8,1072,0,18425,4637,1729,0,0,1,0,50,16695,0,1
27422,991,564,95,5708,1124,972,0,1732,18229,0,0,0,0,0,1410,21268,0,1
1462,0,456,57,0,116,477,0,13314,7583,0,2153,0,5,0,3830,46432,3117,1
18846,0,352,49,8,15,10,0,12224,7316,6911,0,0,80,0,464,10501,22226,1
12586,0,9579,0,0,20,2217,0,23109,1173,7467,4468,0,2145,4,1379,14853,2,1
8337,67,1280,6,0,18,2546,0,22830,3478,7958,6666,8,173,7,397,25209,22,1
5046,0,3394,1256,22,124,747,715,18740,7019,889,3592,13,3,0,12,34977,2453,1
13918,0,969,1283,0,24,1505,0,15515,1707,4068,0,0,243,0,252,16055,23463,1
8495,0,18375,0,0,0,255,0,25240,43,10603,0,1,37,0,2194,13759,0,1
27341,0,5942,0,975,448,4942,641,18092,6579,2976,571,323,869,0,1,9302,0,1
3167,0,5396,0,0,597,185,2,19819,752,3193,9012,0,205,0,0,36674,0,1
94,357,359,31,0,2,1007,0,16299,1963,9434,13932,0,0,0,118,35406,0,1
7650,0,4539,2,11,0,552,0,20784,3926,7492,8880,0,3,0,1057,24106,0,1
79,0,417,4,0,73,4975,0,33409,3056,17902,48,1710,439,0,0,16890,0,1
6872,0,4104,4189,0,118,84,0,14012,527,2576,999,0,43,0,0,45370,108,1
29992,0,24769,0,0,0,23,0,14373,0,3492,0,0,256,0,28,6069,0,1
7465,0,23903,196,64,5,63,0,7817,7,3990,0,2,35,0,143,27935,7377,1
1954,774,571,36,0,43,35,0,25275,4256,7657,407,10,0,17557,271,20156,0,1
61,2,759,3,1,149,5046,0,32901,3388,17779,41,1628,483,0,0,16761,0,1
6225,0,2539,398,512,0,147,430,18264,344,3564,13059,47,58,0,1,33285,129,1
7659,0,3502,0,0,189,2132,0,22218,176,4095,8538,7,82,0,2,30402,0,1
26421,45,30182,0,26,47,24,0,9413,664,3044,73,0,152,0,1078,7833,0,1
13436,0,2503,0,0,1,50,0,18123,3413,172,11298,0,3,0,124,29879,0,1
770,230,27945,0,3,0,763,0,11764,1120,7954,118,5,367,0,1317,26646,0,1
37332,0,7311,0,1191,2,0,119,26449,1476,0,0,0,0,0,0,5635,0,1
35479,0,14045,298,7362,35,2078,0,8429,3393,2236,0,0,445,0,16,5186,0,1
13737,26,614,6717,41,25,233,0,12197,6030,3623,0,296,1095,2,347,15330,18689,1
25068,4333,354,59,5771,778,1089,1,4369,16184,0,2,32,0,141,520,20814,0,1
24079,0,14179,1460,219,382,275,0,13869,1070,2744,6221,6,66,0,31,14401,0,1
39556,0,2597,266,118,0,693,0,15865,5957,0,5519,43,244,0,0,8144,0,1
114,0,387,0,30,27,3384,0,32424,4134,16824,17,587,554,0,11,20509,0,1
22594,0,2013,0,419,3084,1163,0,26428,5249,2596,0,4,577,0,2,14873,0,1
6286,3526,2906,2691,4234,6378,0,133,18690,1968,1365,0,0,50,0,5174,20262,5852,1
4598,0,20076,0,0,0,367,0,18126,427,1715,0,0,457,0,0,33236,0,1
22181,0,7813,0,271,34,419,0,11196,8180,732,216,0,154,0,0,26959,847,1
1402,0,5425,0,0,235,799,0,19498,1959,2720,8580,0,29,0,0,38354,1,1
1693,0,3354,0,26,1104,1463,31,31570,3233,14193,337,3,442,0,1861,19692,0,1
34158,784,14723,0,0,622,208,0,14106,4427,70,0,1,0,0,1618,8285,0,1
21941,0,34,0,10365,244,835,1186,13880,443,2711,0,54,104,18,2,27698,0,1
235,0,10173,427,69,0,0,0,7167,495,0,0,0,0,0,0,59467,969,1
0,0,1139,190,0,31,321,0,18107,3844,9084,12402,12,4,0,3,33315,550,1
28006,0,2404,0,116,313,1094,2,23626,6160,1716,1385,1,380,0,1,13798,0,1
88,0,9482,6,2,64,5024,16,25106,2341,17882,51,1678,398,0,15,16849,0,1
13507,2,1025,532,0,4,670,0,17060,222,0,18381,0,1,0,62,27536,0,1
25773,4551,431,0,4987,1682,1180,1,3970,16602,0,180,5,0,0,3049,17104,0,1
6908,0,3071,6,0,0,551,0,21033,269,362,11350,0,61,0,55,34931,405,1
25723,131,476,2987,0,1131,1306,9,26548,4593,2509,0,20,826,234,7,12502,0,1
17921,0,16338,436,190,270,608,0,15522,3458,2238,33,1,0,0,0,21987,0,1
2166,0,5076,0,0,89,848,0,15345,295,2128,19188,0,1662,0,0,32205,0,1
3910,1,4552,178,307,171,2181,6,27090,1283,20192,5232,1196,547,0,74,12082,0,1
6277,116,685,82,11,17,665,0,20619,2841,2964,8811,4,0,0,43,35867,0,1
595,10,1256,328,640,401,4021,0,21432,7903,11080,5882,181,733,0,1873,22667,0,1
31435,0,9529,163,464,140,936,0,21461,0,1015,0,69,300,0,74,13416,0,1
9245,0,21778,0,0,17,1007,0,13349,371,3571,1659,21,159,0,28,27776,21,1
36642,0,11611,0,0,24,3347,0,10707,5222,0,4154,34,8,0,50,7203,0,1
36041,2,5517,10,76,62,735,0,21668,957,0,704,1,0,0,6121,7108,0,1
20108,367,11943,510,0,13,33,0,17917,822,4442,2425,0,0,2,2598,16435,1387,1
26434,990,1028,77,5585,2090,981,0,2191,16891,0,0,0,0,0,1610,21638,0,1
8804,0,27437,0,0,37,97,0,7788,0,2809,0,7,1,0,438,31584,0,1
10651,0,17189,0,0,0,277,0,25966,74,9871,0,0,168,0,2373,12433,0,1
6630,2899,10772,0,0,3,1086,0,21152,197,5184,4846,0,652,0,6537,19044,0,1
6348,0,619,0,0,14,246,0,15183,5023,5167,13799,0,45,0,0,32558,0,1
9044,0,3009,0,1914,0,174,0,17272,226,2623,12498,0,6,0,0,32236,0,1
29196,0,20656,0,26,17,5,0,15875,103,746,636,29,3,0,53,11657,0,1
4830,0,67,5961,0,0,495,0,11747,100,4241,299,11,0,0,1,51192,58,1
8327,0,3297,12,0,36,0,0,19850,1762,5395,12433,22,116,0,0,27752,0,1
2524,0,2042,4356,0,522,1266,0,14860,2143,14301,13579,91,870,0,119,22320,9,1
26100,3930,422,52,6540,12,935,277,5172,14814,0,0,4,0,64,468,20725,0,1
19582,0,0,61,4690,1988,583,515,20480,4151,3053,0,35,54,0,0,23810,0,1
33863,285,8309,0,25,824,184,0,17470,5041,849,165,0,474,0,3884,7629,0,1
68,0,6179,5,3,92,5310,0,27980,3296,17864,57,1584,499,0,851,15214,0,1
2965,0,10915,0,119,631,1607,30,24195,641,10331,2510,279,760,0,23,23996,0,1
0,0,830,0,0,0,197,0,10469,0,1623,7643,500,12,0,67,57661,0,1
47,0,596,2,1,82,4966,0,33036,3416,17894,57,1648,487,0,9,16761,0,1
3826,8,5943,0,0,54,1838,0,18225,3435,4328,12188,155,54,0,821,28127,0,1
0,0,1110,378,0,12,404,0,17697,6324,7747,6234,2,357,0,62,38674,1,1
397,0,358,7814,0,69,353,0,14667,2752,1258,240,0,0,0,0,44672,6422,1
31064,0,2931,0,0,676,8,0,25526,3991,1537,1598,84,2,0,0,11585,0,1
75,0,126,3,0,86,5124,0,32814,3731,17872,64,1667,460,0,0,16980,0,1
13700,0,1583,18,0,317,879,0,27919,5870,10468,953,0,0,0,4,14948,2343,1
12733,2,903,1045,4059,3883,972,2364,21727,4778,3764,496,64,232,0,0,22493,0,1
19398,0,27972,159,14,0,22,0,13796,0,913,1013,35,674,0,2251,12755,0,1
23605,3765,336,64,6034,1550,1020,0,3339,16695,0,0,5,0,66,803,22231,2,1
10846,0,3372,0,28,273,2321,0,26249,3745,6337,3164,287,346,0,258,21776,0,1
367,0,1216,1,4920,3268,1073,30,21851,6084,764,0,41,344,0,0,39556,0,1
2684,0,4151,0,3323,173,2397,1283,19974,6274,10147,3241,30,425,0,2,24895,3,1
27401,2431,135,127,6212,277,890,1,5496,14940,0,0,2,0,18,291,21294,0,1
22049,338,3305,172,5204,2037,1138,0,2019,19401,0,3,0,0,0,3546,20287,16,1
37264,15,2860,4740,70,226,982,534,14701,5204,2274,0,4,420,0,9015,693,0,1
8849,2247,3974,443,4283,5933,27,5,13643,6826,1169,0,0,1,0,4865,20564,6686,1
103,190,807,1451,25,37,1049,90,22286,2130,7032,9010,0,2110,0,316,32355,11,1
14147,164,3286,14,0,765,3583,0,22197,2488,5787,5179,63,2629,0,145,17101,1454,1
27002,3116,306,53,6046,1071,968,38,3410,16616,0,0,5,0,17,453,20414,0,1
2042,1,3056,792,33,541,2508,5,17174,2282,13455,12471,255,1475,0,1,21587,1324,1
30660,93,27531,0,39,242,60,0,10308,168,549,0,56,0,0,117,9179,0,1
23509,0,12643,11,6,21,354,0,14335,6175,1946,1132,1,0,0,0,18869,0,1
50,6,232,9,2,88,5062,0,33220,3260,17840,68,1646,493,0,3,17023,0,1
23438,3752,680,39,5397,1859,1151,0,2804,18636,0,138,0,1,1,5542,16077,0,1
1408,1,2425,318,1,1,964,0,18670,1695,1175,5220,108,33,0,332,46651,0,1
27444,1815,162,85,5855,1267,1009,0,3567,16140,0,0,5,0,11,335,21820,0,1
505,0,15853,3315,0,474,315,0,14785,3587,6230,2418,4,0,0,6518,24998,0,1
25275,4043,526,33,5535,957,1068,63,2990,18043,0,79,2,0,0,560,20295,46,1
7243,0,6214,1285,0,978,864,0,21561,5023,2226,0,6,201,0,0,32808,593,1
31485,33,15102,0,0,23,646,0,22459,11,865,0,51,327,0,0,8000,0,1
26512,2499,215,14,6009,210,1247,0,3108,17934,0,240,4,14,130,307,21072,0,1
4299,0,915,741,4,258,781,0,16252,4124,6163,14838,1,7,0,0,30619,0,1
50,0,528,2,0,101,5001,0,33012,3418,17848,68,1649,469,0,6,16850,0,1
31309,1671,11166,0,1,179,2368,0,20672,461,891,603,0,63,0,699,8919,0,1
6420,0,896,0,0,0,525,0,24257,1197,4803,10933,0,11,0,0,29955,5,1
27918,2908,419,158,4711,2302,1194,0,6102,14199,0,256,5,0,410,218,18711,4,1
23085,0,11,0,9111,302,382,1315,14221,594,2677,0,0,0,4,102,27708,3,1
25800,3069,313,123,6334,359,878,485,3278,16633,0,0,11,0,3,789,21440,0,1
26966,1781,875,76,6210,1438,953,0,665,19121,0,2,0,0,0,474,20954,0,1
956,0,785,0,0,0,808,0,17453,14,3723,13705,0,890,0,0,40668,0,1
5472,0,441,347,0,242,392,1,24362,1847,4197,10433,0,20,0,0,31084,164,1
3681,0,7950,0,0,171,2386,0,26901,1590,20748,3041,1177,996,0,13,10327,21,1
1,0,1349,11,0,37,1440,0,14191,7343,12540,13029,0,712,0,0,27966,383,1
27877,2295,230,58,5054,1866,1117,28,4166,16299,0,237,0,0,192,328,19768,0,1
34226,544,23841,0,0,57,11,0,11776,1628,4793,0,0,0,0,1143,983,0,1
9701,0,10697,7294,92,41,195,0,9279,319,687,5517,0,106,0,0,35064,10,1
13544,0,11307,4,0,0,1746,0,14956,4384,5090,4252,34,1841,0,110,21690,44,1
3765,0,20299,1925,0,29,51,0,14894,2933,5459,1024,0,0,0,4644,23902,77,1
